name,size,vendor,description,buyPrice,msrp,departmentCode
Bathing suit,Kids,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bathing suit,Large,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bathing suit,Medium,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bathing suit,Petite,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bathing suit,Small,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bathing suit,X-Large,Bellerose,A Bathing suit by manufacturer Bellerose,48.00,63.00,1004
Bike short,Kids,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Bike short,Large,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Bike short,Medium,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Bike short,Petite,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Bike short,Small,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Bike short,X-Large,Adidas,A Bike short by manufacturer Adidas,47.00,85.00,1000
Sport briefs,Kids,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Sport briefs,Large,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Sport briefs,Medium,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Sport briefs,Petite,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Sport briefs,Small,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Sport briefs,X-Large,Polo,A Sport briefs by manufacturer Polo,15.00,24.00,1001
Rain jacket,Kids,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Rain jacket,Large,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Rain jacket,Medium,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Rain jacket,Petite,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Rain jacket,Small,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Rain jacket,X-Large,Hugo Boss,A Rain jacket by manufacturer Hugo Boss,24.00,85.00,1001
Ballet skirt,Kids,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Ballet skirt,Large,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Ballet skirt,Medium,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Ballet skirt,Petite,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Ballet skirt,Small,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Ballet skirt,X-Large,Nununu,A Ballet skirt by manufacturer Nununu,58.00,46.00,1005
Tank top,Kids,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Tank top,Large,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Tank top,Medium,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Tank top,Petite,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Tank top,Small,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Tank top,X-Large,Gap,A Tank top by manufacturer Gap,36.00,87.00,1005
Wool hat,Kids,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Wool hat,Large,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Wool hat,Medium,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Wool hat,Petite,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Wool hat,Small,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Wool hat,X-Large,Puma,A Wool hat by manufacturer Puma,60.00,26.00,1004
Sweat pants,Kids,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Sweat pants,Large,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Sweat pants,Medium,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Sweat pants,Petite,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Sweat pants,Small,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Sweat pants,X-Large,J.Crew,A Sweat pants by manufacturer J.Crew,54.00,63.00,1001
Dress pants,Kids,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Dress pants,Large,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Dress pants,Medium,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Dress pants,Petite,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Dress pants,Small,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Dress pants,X-Large,Hugo Boss,A Dress pants by manufacturer Hugo Boss,18.00,96.00,1002
Beach sling,Kids,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Beach sling,Large,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Beach sling,Medium,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Beach sling,Petite,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Beach sling,Small,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Beach sling,X-Large,Fred Perry,A Beach sling by manufacturer Fred Perry,70.00,12.00,1005
Denim cut-offs,Kids,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Denim cut-offs,Large,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Denim cut-offs,Medium,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Denim cut-offs,Petite,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Denim cut-offs,Small,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Denim cut-offs,X-Large,Aeropostale,A Denim cut-offs by manufacturer Aeropostale,43.00,81.00,1005
Short sleeve Henley,Kids,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve Henley,Large,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve Henley,Medium,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve Henley,Petite,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve Henley,Small,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve Henley,X-Large,Fred Perry,A Short sleeve Henley by manufacturer Fred Perry,5.00,39.00,1005
Short sleeve polo,Kids,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Short sleeve polo,Large,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Short sleeve polo,Medium,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Short sleeve polo,Petite,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Short sleeve polo,Small,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Short sleeve polo,X-Large,Guess,A Short sleeve polo by manufacturer Guess,61.00,90.00,1002
Denim cut-offs,Kids,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Denim cut-offs,Large,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Denim cut-offs,Medium,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Denim cut-offs,Petite,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Denim cut-offs,Small,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Denim cut-offs,X-Large,Nike,A Denim cut-offs by manufacturer Nike,93.00,19.00,1003
Overalls,Kids,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
Overalls,Large,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
Overalls,Medium,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
Overalls,Petite,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
Overalls,Small,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
Overalls,X-Large,Nike,A Overalls by manufacturer Nike,22.00,72.00,1000
V-neck t-shirt,Kids,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
V-neck t-shirt,Large,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
V-neck t-shirt,Medium,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
V-neck t-shirt,Petite,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
V-neck t-shirt,Small,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
V-neck t-shirt,X-Large,Gymboree,A V-neck t-shirt by manufacturer Gymboree,34.00,18.00,1004
Bucket hat,Kids,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
