coupon_id,item_id,category
1,47797,Women
1,67376,Men
1,59942,Girls
1,67131,Men
1,59841,Men
1,59108,Boys
1,4140,Men
1,46772,Men
1,45529,Women
1,49142,Sport
1,51025,Boys
1,51027,Boys
1,24181,Men
1,53071,Girls
1,4007,Men
1,53069,Men
1,53100,Men
1,60113,Men
1,46771,Sport
1,44491,Women
1,59838,Women
1,53070,Men
1,59235,Women
1,59236,Sport
1,58940,Boys
1,51028,Boys
1,44868,Men
1,44112,Women
1,17091,Women
1,59842,Men
1,43986,Women
1,44076,Sport
1,43951,Girls
1,44530,Women
1,60068,Sport
1,50199,Women
1,67321,Women
1,67320,Women
1,51026,Girls
2,2581,Girls
2,12901,Women
3,58943,Men
3,59234,Men
3,58946,Sport
3,58906,Men
3,58944,Women
3,59267,Girls
3,59286,Girls
3,58964,Girls
3,59240,Men
3,59269,Boys
3,59290,Men
3,59203,Women
3,59346,Boys
3,59223,Men
3,59086,Men
3,58972,Sport
3,59117,Men
4,51299,Girls
4,52838,Boys
4,51598,Men
4,61353,Men
4,14059,Men
4,51649,Women
4,51212,Men
4,36772,Men
4,51241,Women
4,51243,Men
4,51298,Boys
4,51244,Men
4,51297,Boys
4,43145,Women
4,51731,Women
4,51221,Sport
4,39824,Girls
4,51242,Sport
4,2795,Boys
4,2748,Men
4,51211,Men
4,12840,Women
4,51245,Men
4,30247,Men
5,57016,Girls
5,46144,Boys
5,46006,Women
5,57079,Women
5,44994,Women
5,57118,Boys
5,53496,Sport
6,44685,Girls
6,40158,Boys
6,26458,Sport
6,30410,Sport
6,19803,Women
6,1836,Men
6,18120,Men
6,1198,Men
6,39990,Women
6,41674,Boys
6,31242,Sport
6,39459,Men
6,73057,Women
6,2304,Men
6,41269,Girls
6,22625,Girls
6,6659,Men
6,23316,Girls
6,36919,Men
6,22956,Sport
6,50,Men
6,12675,Men
6,3812,Men
6,13681,Women
6,3596,Girls
6,25792,Sport
6,40162,Girls
6,1320,Women
6,18108,Boys
6,73083,Boys
6,1786,Men
6,4605,Women
6,31954,Women
6,3661,Women
