coupon_id,item_id,category
1,47797,Sport
1,67376,Women
1,59942,Women
1,67131,Women
1,59841,Men
1,59108,Women
1,4140,Women
1,46772,Women
1,45529,Women
1,49142,Sport
1,51025,Boys
1,51027,Girls
1,24181,Women
1,53071,Women
1,4007,Sport
1,53069,Women
1,53100,Women
1,60113,Sport
1,46771,Girls
1,44491,Men
1,59838,Men
1,53070,Women
1,59235,Sport
1,59236,Girls
1,58940,Boys
1,51028,Boys
1,44868,Women
1,44112,Women
1,17091,Men
1,59842,Women
1,43986,Men
1,44076,Boys
1,43951,Girls
1,44530,Sport
1,60068,Women
1,50199,Women
1,67321,Women
1,67320,Women
1,51026,Boys
2,2581,Girls
2,12901,Women
3,58943,Sport
3,59234,Boys
3,58946,Sport
3,58906,Women
3,58944,Sport
3,59267,Girls
3,59286,Girls
3,58964,Men
3,59240,Men
3,59269,Boys
3,59290,Men
3,59203,Women
3,59346,Girls
3,59223,Women
3,59086,Men
3,58972,Men
3,59117,Women
4,51299,Boys
4,52838,Girls
4,51598,Women
4,61353,Women
4,14059,Women
4,51649,Women
4,51212,Women
4,36772,Sport
4,51241,Women
4,51243,Men
4,51298,Boys
4,51244,Men
4,51297,Boys
4,43145,Women
4,51731,Sport
4,51221,Sport
4,39824,Boys
4,51242,Women
4,2795,Girls
4,2748,Boys
4,51211,Girls
4,12840,Women
4,51245,Women
4,30247,Sport
5,57016,Girls
5,46144,Women
5,46006,Women
5,57079,Women
5,44994,Women
5,57118,Women
5,53496,Men
6,44685,Women
6,40158,Girls
6,26458,Women
6,30410,Women
6,19803,Women
6,1836,Women
6,18120,Women
6,1198,Women
6,39990,Sport
6,41674,Girls
6,31242,Women
6,39459,Women
6,73057,Women
6,2304,Boys
6,41269,Girls
6,22625,Girls
6,6659,Men
6,23316,Girls
6,36919,Women
6,22956,Women
6,50,Women
6,12675,Boys
6,3812,Women
6,13681,Women
6,3596,Boys
6,25792,Women
6,40162,Boys
6,1320,Women
6,18108,Women
6,73083,Boys
6,1786,Sport
6,4605,Sport
6,31954,Women
6,3661,Women
6,46651,Women
6,18317,Women
6,5643,Sport
6,69125,Women
6,69304,Men
6,69181,Women
6,25854,Sport
6,69265,Women
6,44225,Boys
6,8432,Sport
6,1284,Girls
6,17154,Men
6,27427,Men
6,56951,Boys
6,43287,Men
6,17125,Women
6,7260,Women
6,1850,Women
6,39567,Sport
6,16371,Women
6,1218,Women
6,33596,Men
6,12071,Women
6,269,Sport
6,21727,Women
6,28681,Men
6,43906,Sport
6,42934,Men
6,31054,Men
6,35081,Women
6,877,Sport
6,7871,Men
6,12970,Sport
6,2484,Women
6,51981,Women
6,21279,Women
6,26954,Men
6,127,Women
6,39917,Girls
6,3891,Women
6,12758,Women
6,35978,Sport
6,14839,Women
6,11972,Women
6,9790,Women
6,13173,Women
6,44597,Men
6,43349,Sport
6,1693,Girls
6,23361,Sport
6,4599,Women
6,37566,Boys
6,12642,Sport
6,13458,Sport
6,27737,Women
6,25755,Sport
6,5633,Men
6,3460,Girls
6,15745,Women
6,3838,Girls
6,40889,Girls
6,12223,Women
6,3866,Women
6,32073,Sport
6,3317,Women
6,795,Women
6,7486,Men
6,29880,Women
6,23948,Women
6,54408,Women
6,16002,Women
6,28143,Sport
6,37339,Women
6,39409,Girls
6,18197,Women
6,39163,Boys
6,9319,Girls
6,29182,Women
6,25637,Boys
6,37423,Girls
6,37806,Boys
6,41396,Sport
6,13532,Women
6,46710,Women
6,10111,Women
6,42608,Boys
6,73454,Women
6,11216,Boys
6,12870,Men
6,4159,Girls
6,860,Men
6,23222,Women
6,957,Boys
6,36174,Men
6,955,Women
6,28149,Sport
6,1050,Girls
6,33951,Women
6,39358,Boys
6,40487,Boys
6,29863,Girls
6,60841,Boys
6,58885,Men
6,46838,Boys
6,45424,Sport
6,45551,Women
6,8792,Boys
6,47052,Boys
6,29784,Sport
6,42353,Women
6,37715,Boys
6,10517,Men
6,7976,Women
6,856,Women
6,28924,Men
6,11055,Girls
6,31642,Women
