coupon_id,product_id
1,128
1,280
1,396
1,2081
2,2883
3,1001
4,1881
4,1762
4,1723
4,1938
5,319
6,2637
7,2760
7,290
7,1051
8,2242
9,2609
10,1667
11,2714
11,582
12,528
12,1883
12,2755
12,1365
13,2172
14,1010
14,1372
14,2229
15,795
16,1564
17,591
18,2729
18,338
18,1348
18,430
19,49
19,829
20,1640
20,2699
20,2687
21,2626
22,1935
23,243
23,2541
23,903
24,940
25,2309
26,2336
26,1412
26,1865
26,1934
26,2322
27,2091
28,862
30,1732
30,1477
30,1358
31,2635
32,2143
33,2849
33,487
33,2759
34,2831
35,618
36,1122
36,1005
36,830
36,2966
36,62
37,2774
38,2786
39,937
39,1981
39,2494
39,1862
40,526
40,1649
40,1842
40,2200
40,1470
41,1163
42,57
44,301
45,1765
46,2745
47,1208
48,1397
49,1825
49,475
49,1598
50,1811
50,1179
50,351
51,2086
51,2417
51,2228
51,2934
51,2748
52,991
53,1854
53,117
53,1566
54,347
55,2637
56,2520
56,25
56,2675
56,1703
57,2339
57,708
57,2629
57,1543
57,842
58,2992
59,1813
60,1539
60,751
61,2040
61,2265
61,2707
61,908
62,2283
63,22
64,599
65,879
66,2165
66,2836
66,2309
67,1846
68,2086
69,1066
69,1315
69,2487
70,1771
71,2406
72,310
73,2571
73,1211
73,2102
74,2159
75,746
75,1666
75,2359
76,1251
77,2218
78,785
78,1404
78,1710
78,647
79,1744
79,2771
79,2980
79,2023
80,936
81,2433
83,2336
83,289
83,1300
83,405
83,478
84,2003
84,1850
84,2163
84,446
85,193
85,293
85,2311
85,2696
85,2201
86,1275
87,1897
87,2187
88,2968
88,2746
88,131
89,466
89,542
89,1750
89,2887
90,376
91,2033
92,1740
93,2280
93,963
94,2648
95,2977
95,549
95,1414
95,957
95,125
96,748
96,1791
97,1691
98,116
99,1714
99,562
99,2733
99,2862
100,1810
102,655
103,2408
104,1528
105,2237
106,2296
107,2757
107,1417
107,298
107,1085
108,2063
109,2424
110,2465
110,222
111,390
112,2188
112,1965
112,1766
112,445
113,1815
114,1440
115,2504
115,1874
115,2348
115,1682
117,2158
117,2867
117,1565
117,2366
118,167
119,2505
120,2568
120,2221
120,2254
120,1139
120,2654
121,730
122,560
123,1847
124,1090
125,2970
125,132
126,2767
127,1342
128,2510
129,2391
130,1025
130,1346
130,813
130,2573
130,697
132,1252
133,54
134,1753
134,915
135,1526
135,999
136,1301
137,2962
138,2645
139,2727
139,717
139,2319
139,880
139,2270
140,1722
141,1441
142,1397
142,454
143,2800
144,237
145,2975
146,1928
147,759
148,467
149,2989
151,2077
151,1677
152,2751
153,852
154,1636
155,1568
155,42
155,1361
155,305
155,670
156,1786
157,2594
158,1568
158,1189
158,1388
158,570
158,1850
159,1667
159,2890
159,529
159,1432
159,1851
160,759
161,2961
162,2307
163,1503
164,2886
165,1124
166,1501
167,2433
167,450
167,2964
167,2424
167,2331
168,493
169,419
170,2024
171,2443
172,1952
173,2445
174,1962
175,496
175,2482
175,359
176,292
177,2631
178,2223
179,2840
180,1742
181,2063
182,490
183,2636
184,2089
184,1229
184,1102
184,209
184,1149
185,1893
186,1850
186,2972
186,222
187,2392
187,87
187,223
188,435
189,2934
190,1585
191,1704
192,2091
193,2240
194,1690
195,2797
196,1235
197,1522
197,452
197,2190
197,2959
198,237
199,1697
200,953
200,84
200,111
201,1090
201,2404
201,1992
201,1650
201,2107
202,65
203,1544
203,665
203,2965
203,2462
204,1494
205,31
206,1411
206,1179
206,2723
207,2432
207,228
207,1875
207,2484
207,2520
208,908
209,2688
210,2600
211,2067
212,1680
213,2209
214,257
215,1898
216,432
216,882
216,336
217,198
218,1841
218,1633
218,2942
218,1991
219,2788
220,874
221,615
222,2771
223,1441
224,440
225,1998
226,169
226,2537
226,1897
226,437
226,1497
227,2981
228,2200
228,2726
229,1752
229,786
229,2291
230,601
230,1045
230,2331
230,1125
231,872
231,1298
231,1269
231,1246
232,2514
233,2464
233,2855
233,2153
233,1367
233,1465
234,997
235,2326
236,2757
236,2887
237,2376
237,1627
238,769
238,1919
239,554
240,1463
241,985
241,2482
241,206
