product_id,name,category,sizes,vendor,description,buy_price,department
1,SEIN - Celadon green Bike short for Sport,Bike short,28-48,Prada,SEIN - Celadon green Bike short for Sport by Prada. Available sizes 28-48,2.9,Sport
2,TEDOMEHADIS - Bittersweet Pajama pants for Boys,Pajama pants,S-L,Lacoste,TEDOMEHADIS - Bittersweet Pajama pants for Boys by Lacoste. Available sizes S-L,46.05,Boys
3,HINYOUED - Cadmium orange Flannel shirt for Women,Flannel shirt,22-44,ZARA,HINYOUED - Cadmium orange Flannel shirt for Women by ZARA. Available sizes 22-44,3.33,Women
4,NDESTERIONIN - Chrome yellow Swim trunk for Sport,Swim trunk,28-38,CLSC,NDESTERIONIN - Chrome yellow Swim trunk for Sport by CLSC. Available sizes 28-38,4.04,Sport
5,ITHULDAT - Dark olive green Sport shorts for Sport,Sport shorts,28-38,Aeropostale,ITHULDAT - Dark olive green Sport shorts for Sport by Aeropostale. Available sizes 28-38,10.33,Sport
6,HISEDTOTHA - Citron Short sleeve polo for Men,Short sleeve polo,28-38,Lacoste,HISEDTOTHA - Citron Short sleeve polo for Men by Lacoste. Available sizes 28-38,4.21,Men
7,TINGLEEDEN - Bud green V-neck t-shirt for Girls,V-neck t-shirt,28-38,Gucci,TINGLEEDEN - Bud green V-neck t-shirt for Girls by Gucci. Available sizes 28-38,5.3100000000000005,Girls
8,VEENYOUOUHE - Caribbean green Beach sling for Girls,Beach sling,28-38,Prada,VEENYOUOUHE - Caribbean green Beach sling for Girls by Prada. Available sizes 28-38,20.95,Girls
9,MEAN - Bottle green T-shirt for Girls,T-shirt,32-48,Carhartt,MEAN - Bottle green T-shirt for Girls by Carhartt. Available sizes 32-48,8.85,Girls
10,VETHEOURTER - Bright maroon Swim trunk for Sport,Swim trunk,S-L,Carhartt,VETHEOURTER - Bright maroon Swim trunk for Sport by Carhartt. Available sizes S-L,8.06,Sport
11,HINANDWAMEEN - Charm pink Suspenders for Girls,Suspenders,22-44,J.Crew,HINANDWAMEEN - Charm pink Suspenders for Girls by J.Crew. Available sizes 22-44,26.26,Girls
12,LEALEN - Aquamarine Skinny jean for Boys,Skinny jean,22-44,Fred Perry,LEALEN - Aquamarine Skinny jean for Boys by Fred Perry. Available sizes 22-44,2.53,Boys
13,ENTIO - Burnished brown Sweat pants for Women,Sweat pants,one-size,H & M,ENTIO - Burnished brown Sweat pants for Women by H & M. Available sizes one-size,11.65,Women
14,ASNT - Cyan Cotton oxford for Boys,Cotton oxford,S-XL,Polo,ASNT - Cyan Cotton oxford for Boys by Polo. Available sizes S-XL,46.55,Boys
15,HATENOUL - Cardinal Short sleeve polo for Men,Short sleeve polo,28-48,ZARA,HATENOUL - Cardinal Short sleeve polo for Men by ZARA. Available sizes 28-48,9.06,Men
16,ITHITTETER - Bleu de France Suspenders for Women,Suspenders,22-44,Bellerose,ITHITTETER - Bleu de France Suspenders for Women by Bellerose. Available sizes 22-44,13.22,Women
17,ERED - Ebony Hawaiian shirt for Boys,Hawaiian shirt,28-38,Nike,ERED - Ebony Hawaiian shirt for Boys by Nike. Available sizes 28-38,11.46,Boys
18,ITEAAND - Blue-gray Short sleeve polo for Men,Short sleeve polo,S-XL,Versace,ITEAAND - Blue-gray Short sleeve polo for Men by Versace. Available sizes S-XL,11.01,Men
19,ITLEHION - Candy apple red Overalls for Women,Overalls,S-XL,Gucci,ITLEHION - Candy apple red Overalls for Women by Gucci. Available sizes S-XL,16.43,Women
20,TIULD - Crimson T-shirt for Women,T-shirt,XS-XXL,Versace,TIULD - Crimson T-shirt for Women by Versace. Available sizes XS-XXL,16.509999999999998,Women
21,HERHA - Auburn Cargo short for Men,Cargo short,S-XL,Versace,HERHA - Auburn Cargo short for Men by Versace. Available sizes S-XL,7.939999999999999,Men
22,HAYOU - Black coffee Cotton oxford for Women,Cotton oxford,one-size,Diesel,HAYOU - Black coffee Cotton oxford for Women by Diesel. Available sizes one-size,4.55,Women
23,ARTI - French blue Romper for Women,Romper,28-48,Gucci,ARTI - French blue Romper for Women by Gucci. Available sizes 28-48,7.37,Women
24,STER - Cosmic cobalt Sweat pants for Boys,Sweat pants,22-44,Carhartt,STER - Cosmic cobalt Sweat pants for Boys by Carhartt. Available sizes 22-44,9.45,Boys
25,HADEREEVENE - Dark pastel green Flannel shirt for Boys,Flannel shirt,S-L,Calvin Klein,HADEREEVENE - Dark pastel green Flannel shirt for Boys by Calvin Klein. Available sizes S-L,33.31,Boys
26,LEST - Cornsilk Dress socks for Girls,Dress socks,28-48,Bellerose,LEST - Cornsilk Dress socks for Girls by Bellerose. Available sizes 28-48,1.25,Girls
27,BUTRETOONHAD - Forest green (traditional) Sport jacket for Sport,Sport jacket,one-size,Acrylick,BUTRETOONHAD - Forest green (traditional) Sport jacket for Sport by Acrylick. Available sizes one-size,16.88,Sport
28,OUTIOUON - French violet Yoga skort for Sport,Yoga skort,one-size,H & M,OUTIOUON - French violet Yoga skort for Sport by H & M. Available sizes one-size,17.18,Sport
29,TESHO - Fire engine red Yoga skort for Sport,Yoga skort,S-L,Converse,TESHO - Fire engine red Yoga skort for Sport by Converse. Available sizes S-L,17.42,Sport
30,INGALOUTE - Copper rose Jeans for Girls,Jeans,32-48,Izod,INGALOUTE - Copper rose Jeans for Girls by Izod. Available sizes 32-48,14.63,Girls
31,EDEA - Apple green Cotton oxford for Women,Cotton oxford,one-size,Calvin Klein,EDEA - Apple green Cotton oxford for Women by Calvin Klein. Available sizes one-size,2.33,Women
32,METHEBUTWASERA - Burnt sienna Bathing suit for Sport,Bathing suit,S-L,Acrylick,METHEBUTWASERA - Burnt sienna Bathing suit for Sport by Acrylick. Available sizes S-L,46.2,Sport
33,ERINGHEALL - Cardinal Suspenders for Women,Suspenders,32-48,Fred Perry,ERINGHEALL - Cardinal Suspenders for Women by Fred Perry. Available sizes 32-48,11.22,Women
34,ITHISNEND - Cornell red Sweatshirt for Men,Sweatshirt,28-48,Puma,ITHISNEND - Cornell red Sweatshirt for Men by Puma. Available sizes 28-48,5.0,Men
35,HENBUTSE - Fuchsia rose Dress socks for Girls,Dress socks,22-44,Adidas,HENBUTSE - Fuchsia rose Dress socks for Girls by Adidas. Available sizes 22-44,5.37,Girls
36,NTTHA - Electric violet Hawaiian shirt for Women,Hawaiian shirt,28-38,Adidas,NTTHA - Electric violet Hawaiian shirt for Women by Adidas. Available sizes 28-38,43.4,Women
37,TOHE - Black Vest top for Men,Vest top,28-38,Acrylick,TOHE - Black Vest top for Men by Acrylick. Available sizes 28-38,18.83,Men
38,ATTITHITIOES - Brown sugar T-shirt for Boys,T-shirt,XS-XXL,Gap,ATTITHITIOES - Brown sugar T-shirt for Boys by Gap. Available sizes XS-XXL,2.8,Boys
39,VESHOION - Corn Short sleeve polo for Men,Short sleeve polo,XS-XXL,TinyCottons,VESHOION - Corn Short sleeve polo for Men by TinyCottons. Available sizes XS-XXL,2.62,Men
40,LESENE - Dark blue-gray Dress socks for Men,Dress socks,28-48,Aeropostale,LESENE - Dark blue-gray Dress socks for Men by Aeropostale. Available sizes 28-48,10.27,Men
41,TIOERRE - Brick red Suspenders for Boys,Suspenders,28-38,Carhartt,TIOERRE - Brick red Suspenders for Boys by Carhartt. Available sizes 28-38,11.15,Boys
42,NTORENT - Dark electric blue Suspenders for Women,Suspenders,S-L,CLSC,NTORENT - Dark electric blue Suspenders for Women by CLSC. Available sizes S-L,6.27,Women
43,HENNGOUALHAD - Burnt orange Dress pants for Women,Dress pants,S-XL,Carhartt,HENNGOUALHAD - Burnt orange Dress pants for Women by Carhartt. Available sizes S-XL,2.49,Women
44,NGOU - Cornflower blue Onesy for Women,Onesy,S-L,Chanel,NGOU - Cornflower blue Onesy for Women by Chanel. Available sizes S-L,11.78,Women
45,THAULDHIS - Blood red Jeans for Women,Jeans,S-L,Gucci,THAULDHIS - Blood red Jeans for Women by Gucci. Available sizes S-L,10.6,Women
46,TONGST - Amaranth purple T-shirt for Men,T-shirt,S-L,Levis,TONGST - Amaranth purple T-shirt for Men by Levis. Available sizes S-L,2.83,Men
47,VESTTERHI - Eerie black Bike short for Sport,Bike short,28-38,CLSC,VESTTERHI - Eerie black Bike short for Sport by CLSC. Available sizes 28-38,16.439999999999998,Sport
48,ITNEITHFORED - Baby pink Vest top for Women,Vest top,S-L,Polo,ITNEITHFORED - Baby pink Vest top for Women by Polo. Available sizes S-L,2.99,Women
49,NGITORTH - Blue-violet (color wheel) Sport shorts for Sport,Sport shorts,22-44,Versace,NGITORTH - Blue-violet (color wheel) Sport shorts for Sport by Versace. Available sizes 22-44,5.22,Sport
50,ENED - Arctic lime Denim cut-offs for Girls,Denim cut-offs,S-L,Dior,ENED - Arctic lime Denim cut-offs for Girls by Dior. Available sizes S-L,12.67,Girls
51,NOTINRE - French sky blue Bike short for Sport,Bike short,S-L,Prada,NOTINRE - French sky blue Bike short for Sport by Prada. Available sizes S-L,11.15,Sport
52,ENTESTILEIT - Amaranth Dress socks for Men,Dress socks,28-48,Polo,ENTESTILEIT - Amaranth Dress socks for Men by Polo. Available sizes 28-48,10.78,Men
53,TEDOMEVERASHEN - Almond Yoga skort for Sport,Yoga skort,22-44,Armani,TEDOMEVERASHEN - Almond Yoga skort for Sport by Armani. Available sizes 22-44,9.33,Sport
54,HIHERES - Dogwood rose Dress pants for Boys,Dress pants,28-38,Prada,HIHERES - Dogwood rose Dress pants for Boys by Prada. Available sizes 28-38,8.29,Boys
55,TEROREA - Duke blue Beach sling for Girls,Beach sling,S-XL,Gucci,TEROREA - Duke blue Beach sling for Girls by Gucci. Available sizes S-XL,8.05,Girls
56,FORHEED - Capri Dress pants for Boys,Dress pants,S-L,Prada,FORHEED - Capri Dress pants for Boys by Prada. Available sizes S-L,4.08,Boys
57,TETED - Celtic blue Wool hat for Men,Wool hat,S-L,CLSC,TETED - Celtic blue Wool hat for Men by CLSC. Available sizes S-L,10.51,Men
