coupon_id,coupon_type,coupon_dpt,coupon_discount,coupon_how_many,coupon_mean_prod_price,coupon_prods_avail
1.0,buy_all,Men,10,4,7.16,4
2.0,buy_more,Men,23,3,9.12,1
3.0,just_discount,Men,12,1,1.13,1
4.0,buy_all,Sport,49,4,5.85,4
5.0,buy_more,Sport,20,4,9.59,1
6.0,just_discount,Sport,5,1,4.34,1
7.0,buy_all,Boys,49,3,8.79,3
8.0,buy_more,Boys,20,3,7.44,1
9.0,just_discount,Boys,23,1,6.12,1
10.0,just_discount,Girls,9,1,7.53,1
11.0,buy_all,Girls,68,2,1.98,2
12.0,buy_all,Girls,9,4,11.18,4
13.0,just_discount,Women,8,1,4.87,1
14.0,buy_all,Women,61,3,8.43,3
15.0,buy_more,Women,45,3,7.97,1
16.0,just_discount,Men,17,1,8.24,1
17.0,buy_more,Boys,18,5,11.67,1
18.0,buy_all,Women,41,4,9.35,4
19.0,buy_all,Sport,60,2,6.4,2
20.0,buy_all,Boys,22,3,7.01,3
21.0,buy_more,Women,44,5,10.94,1
22.0,buy_more,Men,43,4,9.57,1
23.0,buy_all,Men,69,3,12.74,3
24.0,buy_more,Girls,36,2,11.97,1
25.0,buy_more,Women,23,2,11.45,1
26.0,buy_all,Girls,6,5,10.29,5
27.0,buy_more,Women,41,4,2.02,1
28.0,buy_more,Sport,15,2,9.22,1
29.0,department,Girls,11,1,15.29,604
30.0,buy_all,Women,51,3,7.28,3
31.0,just_discount,Sport,22,1,11.51,1
32.0,buy_more,Girls,19,3,2.8,1
33.0,buy_all,Men,42,3,10.16,3
34.0,buy_more,Sport,32,5,5.98,1
35.0,just_discount,Sport,6,1,7.31,1
36.0,buy_all,Boys,9,5,8.26,5
37.0,buy_more,Girls,27,5,1.83,1
38.0,just_discount,Boys,21,1,11.73,1
39.0,buy_all,Girls,38,4,14.12,4
40.0,buy_all,Men,7,5,9.21,5
41.0,buy_more,Women,40,5,4.58,1
42.0,just_discount,Men,18,1,10.51,1
43.0,department,Sport,23,1,18.23,641
44.0,buy_more,Boys,46,3,4.76,1
45.0,buy_more,Boys,38,5,45.28,1
46.0,buy_more,Women,18,3,5.41,1
47.0,just_discount,Boys,16,1,13.56,1
48.0,buy_more,Women,17,4,8.01,1
49.0,buy_all,Sport,51,3,13.75,3
50.0,buy_all,Men,61,3,9.76,3
51.0,buy_all,Women,60,5,6.38,5
52.0,just_discount,Women,12,1,8.98,1
53.0,buy_all,Men,17,3,16.67,3
54.0,just_discount,Women,7,1,9.8,1
55.0,just_discount,Sport,26,1,4.34,1
56.0,buy_all,Boys,69,4,15.38,4
57.0,buy_all,Men,9,5,10.37,5
58.0,buy_more,Girls,28,5,8.62,1
59.0,buy_more,Girls,40,5,9.42,1
60.0,buy_all,Girls,12,2,13.46,2
61.0,buy_all,Women,61,4,15.7,4
62.0,just_discount,Men,15,1,23.39,1
63.0,just_discount,Women,9,1,4.55,1
64.0,just_discount,Boys,17,1,12.87,1
65.0,buy_more,Girls,21,2,10.88,1
66.0,buy_all,Women,19,3,9.1,3
67.0,buy_more,Sport,42,5,8.86,1
68.0,buy_more,Women,36,2,8.1,1
69.0,buy_all,Boys,52,3,5.3,3
70.0,just_discount,Women,5,1,10.42,1
71.0,buy_more,Men,10,4,38.2,1
72.0,just_discount,Boys,22,1,3.75,1
73.0,buy_all,Girls,28,3,55.37,3
74.0,just_discount,Men,23,1,3.26,1
75.0,buy_all,Boys,47,3,6.04,3
76.0,just_discount,Sport,19,1,6.34,1
77.0,just_discount,Boys,21,1,10.5,1
78.0,buy_all,Men,13,4,15.85,4
79.0,buy_all,Girls,44,4,10.76,4
80.0,buy_more,Girls,14,3,8.06,1
81.0,buy_more,Sport,39,4,415.58,1
82.0,department,Men,62,1,11.07,609
83.0,buy_all,Girls,6,5,5.96,5
84.0,buy_all,Women,50,4,31.3,4
85.0,buy_all,Men,46,5,8.62,5
86.0,just_discount,Boys,15,1,3.15,1
87.0,buy_all,Sport,63,2,10.73,2
88.0,buy_all,Sport,24,3,4.1,3
89.0,buy_all,Boys,27,4,17.23,4
90.0,buy_more,Sport,39,5,16.3,1
91.0,just_discount,Girls,20,1,11.23,1
92.0,just_discount,Women,5,1,3.43,1
93.0,buy_all,Men,22,2,4.99,2
94.0,buy_more,Boys,38,3,4.67,1
95.0,buy_all,Girls,56,5,51.17,5
96.0,buy_all,Sport,17,2,2.73,2
97.0,just_discount,Boys,16,1,6.04,1
98.0,buy_more,Men,19,2,5.02,1
99.0,buy_all,Women,57,4,7.33,4
100.0,buy_more,Sport,29,4,8.83,1
101.0,department,Boys,46,1,11.53,609
102.0,buy_more,Girls,42,3,11.42,1
103.0,buy_more,Girls,50,3,16.15,1
104.0,buy_more,Girls,23,4,21.45,1
105.0,just_discount,Women,11,1,8.21,1
106.0,buy_more,Women,20,2,8.51,1
107.0,buy_all,Boys,63,4,14.58,4
108.0,buy_more,Boys,20,5,6.5,1
109.0,buy_more,Sport,42,4,9.0,1
110.0,buy_all,Women,62,2,8.51,2
111.0,buy_more,Men,36,4,9.59,1
112.0,buy_all,Sport,28,4,95.44,4
113.0,just_discount,Men,30,1,4.17,1
114.0,just_discount,Women,14,1,26.74,1
115.0,buy_all,Sport,51,4,11.1,4
116.0,department,Boys,64,1,11.53,609
117.0,buy_all,Boys,18,4,6.29,4
118.0,just_discount,Girls,15,1,1.79,1
119.0,buy_more,Men,46,4,5.04,1
120.0,buy_all,Sport,57,5,11.9,5
121.0,just_discount,Sport,23,1,2.13,1
122.0,buy_more,Boys,15,4,11.1,1
123.0,just_discount,Women,21,1,6.29,1
124.0,just_discount,Girls,29,1,3.86,1
125.0,buy_all,Sport,59,2,13.68,2
126.0,buy_more,Girls,42,4,8.08,1
127.0,just_discount,Women,19,1,5.2,1
128.0,buy_more,Women,29,2,67.42,1
129.0,buy_more,Men,48,5,10.7,1
130.0,buy_all,Boys,45,5,42.86,5
131.0,department,Boys,17,1,11.53,609
132.0,just_discount,Girls,26,1,10.7,1
133.0,just_discount,Boys,17,1,8.29,1
134.0,buy_all,Men,35,2,188.48,2
135.0,buy_all,Sport,44,2,8.74,2
136.0,just_discount,Girls,6,1,2.47,1
137.0,just_discount,Sport,14,1,2.15,1
138.0,just_discount,Women,12,1,14.31,1
139.0,buy_all,Sport,10,5,9.01,5
140.0,just_discount,Boys,19,1,10.33,1
141.0,just_discount,Men,28,1,5.52,1
142.0,buy_all,Women,7,2,8.23,2
143.0,just_discount,Men,24,1,6.1,1
144.0,just_discount,Boys,21,1,9.2,1
145.0,buy_more,Women,10,4,12.73,1
146.0,just_discount,Sport,6,1,4.77,1
147.0,buy_more,Girls,20,4,8.22,1
148.0,just_discount,Girls,22,1,6.09,1
149.0,buy_more,Men,21,4,13.25,1
150.0,department,Sport,21,1,18.23,641
151.0,buy_all,Boys,23,2,3.82,2
152.0,just_discount,Girls,5,1,15.11,1
153.0,just_discount,Boys,28,1,15.2,1
154.0,just_discount,Sport,21,1,5.28,1
155.0,buy_all,Women,18,5,5.0,5
156.0,just_discount,Sport,10,1,3.67,1
157.0,just_discount,Sport,18,1,13.41,1
158.0,buy_all,Women,29,5,13.65,5
159.0,buy_all,Girls,70,5,6.87,5
160.0,buy_more,Girls,37,3,8.22,1
161.0,just_discount,Women,15,1,7.95,1
162.0,buy_more,Men,42,2,11.33,1
163.0,just_discount,Sport,30,1,8.72,1
164.0,buy_more,Boys,29,2,9.08,1
165.0,just_discount,Men,19,1,10.1,1
166.0,just_discount,Boys,20,1,24.24,1
167.0,buy_all,Sport,63,5,89.71,5
168.0,just_discount,Women,11,1,8.25,1
169.0,buy_more,Sport,43,5,11.22,1
170.0,just_discount,Sport,12,1,7.85,1
171.0,just_discount,Girls,29,1,19.82,1
172.0,just_discount,Sport,9,1,8.03,1
173.0,just_discount,Girls,11,1,7.95,1
174.0,buy_more,Men,17,5,35.56,1
175.0,buy_all,Girls,28,3,6.96,3
176.0,just_discount,Men,20,1,7.11,1
177.0,buy_more,Men,20,5,14.18,1
178.0,buy_more,Girls,20,4,7.39,1
179.0,just_discount,Boys,17,1,4.86,1
180.0,buy_more,Women,47,4,6.25,1
181.0,just_discount,Boys,13,1,6.5,1
182.0,just_discount,Boys,13,1,31.84,1
183.0,buy_more,Men,42,5,3.99,1
184.0,buy_all,Sport,54,5,7.43,5
185.0,just_discount,Girls,19,1,9.25,1
186.0,buy_all,Women,20,3,15.09,3
187.0,buy_all,Men,19,3,4.7,3
188.0,just_discount,Boys,23,1,10.08,1
189.0,buy_more,Women,25,4,8.18,1
190.0,just_discount,Girls,9,1,69.53,1
191.0,just_discount,Women,6,1,9.74,1
192.0,just_discount,Women,26,1,2.02,1
193.0,just_discount,Men,17,1,21.8,1
194.0,buy_more,Sport,28,3,7.05,1
195.0,buy_more,Girls,42,3,5.37,1
196.0,just_discount,Sport,11,1,4.96,1
197.0,buy_all,Men,14,4,15.42,4
198.0,just_discount,Boys,19,1,9.2,1
199.0,just_discount,Women,13,1,10.24,1
200.0,buy_all,Boys,60,3,7.49,3
201.0,buy_all,Girls,51,5,6.26,5
202.0,buy_more,Men,31,4,4.27,1
203.0,buy_all,Boys,65,4,7.85,4
204.0,just_discount,Men,7,1,8.97,1
205.0,buy_more,Women,40,4,2.33,1
206.0,buy_all,Men,5,3,9.66,3
207.0,buy_all,Boys,69,5,66.62,5
208.0,just_discount,Women,18,1,12.5,1
209.0,buy_more,Women,35,5,4.34,1
210.0,just_discount,Sport,25,1,22.16,1
211.0,buy_more,Boys,46,5,9.77,1
212.0,buy_more,Girls,30,2,6.06,1
213.0,buy_more,Girls,11,2,11.04,1
214.0,buy_more,Girls,41,2,10.39,1
215.0,just_discount,Women,9,1,8.26,1
216.0,buy_all,Sport,53,3,16.23,3
217.0,just_discount,Sport,15,1,13.92,1
218.0,buy_all,Men,51,4,13.68,4
219.0,just_discount,Men,21,1,10.51,1
220.0,just_discount,Boys,7,1,2.06,1
221.0,buy_more,Girls,38,3,24.46,1
222.0,buy_more,Girls,50,5,11.21,1
223.0,buy_more,Men,39,4,5.52,1
224.0,just_discount,Sport,20,1,10.94,1
225.0,just_discount,Girls,11,1,12.36,1
226.0,buy_all,Sport,20,5,16.29,5
227.0,buy_more,Girls,31,4,10.31,1
228.0,buy_all,Men,44,2,5.3,2
229.0,buy_all,Women,25,3,15.25,3
230.0,buy_all,Sport,55,4,15.0,4
231.0,buy_all,Boys,14,4,14.71,4
232.0,buy_more,Boys,45,2,10.28,1
233.0,buy_all,Girls,31,5,8.74,5
234.0,just_discount,Sport,5,1,9.66,1
235.0,buy_more,Sport,39,4,8.37,1
236.0,buy_all,Boys,53,2,2.6,2
237.0,buy_all,Women,26,2,8.25,2
238.0,buy_all,Men,17,2,6.69,2
239.0,buy_more,Women,31,3,9.12,1
240.0,just_discount,Boys,14,1,2.02,1
241.0,buy_all,Girls,63,4,31.94,4
242.0,buy_all,Girls,59,2,44.26,2
243.0,just_discount,Men,21,1,8.79,1
244.0,buy_all,Women,27,2,6.69,2
245.0,just_discount,Men,26,1,9.35,1
246.0,buy_all,Sport,53,3,7.26,3
247.0,just_discount,Boys,21,1,17.11,1
248.0,department,Sport,57,1,18.23,641
249.0,buy_all,Girls,23,4,8.82,4
250.0,just_discount,Women,25,1,22.34,1
251.0,just_discount,Girls,8,1,11.01,1
252.0,buy_more,Women,34,2,6.29,1
253.0,buy_all,Boys,54,3,4.86,3
254.0,buy_more,Women,44,4,2.99,1
255.0,just_discount,Boys,28,1,17.11,1
256.0,buy_more,Sport,48,5,8.28,1
257.0,just_discount,Sport,17,1,5.2,1
258.0,just_discount,Girls,26,1,9.76,1
259.0,buy_more,Women,44,5,2.14,1
260.0,just_discount,Boys,22,1,5.12,1
261.0,buy_more,Women,31,4,8.45,1
262.0,just_discount,Men,6,1,10.4,1
263.0,buy_more,Men,47,5,3.01,1
264.0,buy_more,Sport,30,3,1.53,1
265.0,buy_more,Girls,24,3,6.79,1
266.0,buy_all,Women,34,3,5.69,3
267.0,buy_more,Men,38,4,1.17,1
268.0,buy_more,Girls,10,4,10.11,1
269.0,buy_more,Sport,45,2,10.21,1
270.0,buy_more,Women,45,3,5.06,1
271.0,buy_all,Sport,18,4,12.39,4
272.0,just_discount,Boys,7,1,9.43,1
273.0,buy_all,Girls,70,5,8.2,5
274.0,buy_more,Sport,39,2,17.07,1
275.0,buy_more,Boys,23,3,4.46,1
276.0,buy_all,Boys,44,3,9.7,3
277.0,buy_all,Sport,39,3,4.83,3
